[2025-03-06 03:58:32] WARN  org.springframework.boot.logging.DeferredLog 253 logTo - [Nacos Config] config[dataId=aimin-drug-dev.yml, group=DEFAULT_GROUP] is empty
[2025-03-06 03:58:33] WARN  com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder 97 loadNacosData - Ignore the empty nacos configuration and get it based on dataId[aimin-drug] & group[DEFAULT_GROUP]
[2025-03-06 03:58:33] WARN  com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder 97 loadNacosData - Ignore the empty nacos configuration and get it based on dataId[aimin-drug.properties] & group[DEFAULT_GROUP]
[2025-03-06 03:58:34] WARN  com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder 97 loadNacosData - Ignore the empty nacos configuration and get it based on dataId[aimin-drug-dev.properties] & group[DEFAULT_GROUP]
[2025-03-06 03:58:34] WARN  org.springframework.boot.logging.DeferredLog 253 logTo - [Nacos Config] config[dataId=aimin-drug-dev.yml, group=DEFAULT_GROUP] is empty
[2025-03-06 03:58:34] WARN  com.baomidou.mybatisplus.core.injector.AbstractMethod 407 addMappedStatement - [com.oimc.aimin.drug.mapper.DrugCategoriesMapper.selectById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.SelectById]
[2025-03-06 04:08:51] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder 102 shutdown - [HttpClientBeanHolder] Start destroying common HttpClient
[2025-03-06 04:08:51] WARN  com.alibaba.nacos.common.notify.NotifyCenter 134 shutdown - [NotifyCenter] Start destroying Publisher
[2025-03-06 04:08:51] WARN  com.alibaba.nacos.common.notify.NotifyCenter 151 shutdown - [NotifyCenter] Destruction of the end
[2025-03-06 04:08:51] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder 111 shutdown - [HttpClientBeanHolder] Destruction of the end
[2025-03-06 04:09:00] WARN  org.springframework.boot.logging.DeferredLog 253 logTo - [Nacos Config] config[dataId=aimin-drug-dev.yml, group=DEFAULT_GROUP] is empty
[2025-03-06 04:09:01] WARN  com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder 97 loadNacosData - Ignore the empty nacos configuration and get it based on dataId[aimin-drug] & group[DEFAULT_GROUP]
[2025-03-06 04:09:01] WARN  com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder 97 loadNacosData - Ignore the empty nacos configuration and get it based on dataId[aimin-drug.properties] & group[DEFAULT_GROUP]
[2025-03-06 04:09:01] WARN  com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder 97 loadNacosData - Ignore the empty nacos configuration and get it based on dataId[aimin-drug-dev.properties] & group[DEFAULT_GROUP]
[2025-03-06 04:09:01] WARN  org.springframework.boot.logging.DeferredLog 253 logTo - [Nacos Config] config[dataId=aimin-drug-dev.yml, group=DEFAULT_GROUP] is empty
[2025-03-06 04:09:02] WARN  com.baomidou.mybatisplus.core.injector.AbstractMethod 407 addMappedStatement - [com.oimc.aimin.drug.mapper.DrugCategoriesMapper.selectById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.SelectById]
